gene,mean_effect,n_lines,lineage
DISP1,0.0223,1208,all
DISP2,-0.0654,1208,all
DISP3,0.0782,1208,all
DIXDC1,-0.0709,1208,all
DKC1,-1.3167,1208,all
DKK1,-0.1392,1208,all
DKK2,0.0557,1208,all
DKK3,-0.0502,1208,all
DKK4,-0.0409,1208,all
DKKL1,-0.0598,1208,all
DLAT,-0.0274,1208,all
DLC1,0.174,1208,all
DLD,-0.2928,1208,all
DLEC1,-0.0742,1208,all
DLEU7,0.0607,1208,all
DLG1,0.0223,1208,all
DLG2,0.0952,1208,all
DLG3,0.1188,1208,all
DLG4,-0.1107,1208,all
DLG5,-0.2218,1208,all
DLGAP1,0.1382,1208,all
DLGAP2,0.1344,1208,all
DLGAP3,-0.0631,1208,all
DLGAP4,0.0869,1208,all
DLGAP5,-0.1938,1208,all
DLK1,-0.1514,1208,all
DLK2,-0.0931,1208,all
DLL1,0.0153,1208,all
DLL3,-0.0673,1208,all
DLL4,-0.0514,1208,all
DLST,-0.3522,1208,all
DLX1,-0.0924,1208,all
DLX2,-0.1004,1208,all
DLX3,-0.1852,1208,all
DLX4,-0.0096,1208,all
DLX5,-0.1104,1208,all
DLX6,-0.0286,1208,all
DMAC1,-0.1975,1208,all
DMAC2,-0.0489,1208,all
DMAC2L,0.0604,1208,all
DMAP1,-1.2319,1208,all
DMBT1,-0.0271,1208,all
DMBX1,0.0549,1208,all
DMC1,-0.0101,1208,all
DMD,0.1332,1208,all
DMGDH,0.0713,1208,all
DMKN,-0.1454,1208,all
DMP1,0.0004,1208,all
DMPK,-0.0294,1208,all
DMRT1,0.1343,1208,all
DMRT2,0.3143,1208,all
DMRT3,0.1276,1208,all
DMRTA1,0.0256,1208,all
DMRTA2,-0.2699,1208,all
DMRTB1,-0.1002,1208,all
DMRTC2,-0.1762,1208,all
DMTF1,0.0081,1208,all
DMTN,0.0562,1208,all
DMWD,-0.0217,1208,all
DMXL1,-0.0745,1208,all
DMXL2,-0.0168,1208,all
DNA2,-2.7153,77,all
DNAAF1,0.0346,1208,all
DNAAF10,-0.9058,1208,all
DNAAF11,0.0905,1208,all
DNAAF19,0.0358,1208,all
DNAAF2,-0.0119,1208,all
DNAAF3,0.0603,1208,all
DNAAF4,0.0192,1208,all
DNAAF5,-0.2402,1208,all
DNAAF6,0.1128,1208,all
DNAAF8,-0.0035,1208,all
DNAAF9,-0.0353,1208,all
DNAH1,-0.0738,1208,all
DNAH10,-0.0991,1208,all
DNAH11,0.0798,1208,all
DNAH12,0.0172,1208,all
DNAH14,0.1069,1208,all
DNAH17,-0.1811,77,all
DNAH2,-0.1405,1208,all
DNAH3,0.0004,1208,all
DNAH5,-0.1375,1208,all
DNAH6,0.1076,1208,all
DNAH7,-0.053,1208,all
DNAH8,-0.0477,77,all
DNAH9,-0.0101,1208,all
DNAI1,-0.0569,1208,all
DNAI2,0.021,1208,all
DNAI3,-0.1504,1208,all
DNAI4,-0.0253,1208,all
DNAI7,0.0287,1208,all
DNAJA1,-0.4374,1208,all
DNAJA2,-0.0266,1208,all
DNAJA3,-0.8873,1208,all
DNAJA4,0.0245,1208,all
DNAJB1,-0.2525,1208,all
DNAJB11,-0.2334,1208,all
DNAJB12,-0.2637,1208,all
DNAJB13,-0.1152,1208,all
DNAJB14,0.0643,1208,all
DNAJB2,0.0039,1208,all
DNAJB4,0.0089,1208,all
DNAJB5,0.0329,1208,all
DNAJB6,-0.3932,1208,all
DNAJB7,0.0189,1208,all
DNAJB8,-0.076,1208,all
DNAJB9,0.0097,1208,all
DNAJC1,0.0366,1208,all
DNAJC10,-0.0903,1208,all
DNAJC11,-0.6485,1208,all
DNAJC12,-0.0767,1208,all
DNAJC13,-0.2218,1208,all
DNAJC14,-0.0532,1208,all
DNAJC15,0.004,1208,all
DNAJC16,-0.1338,1208,all
DNAJC17,-1.3415,1208,all
DNAJC18,0.0476,1208,all
DNAJC19,-0.3805,1208,all
DNAJC2,-0.138,1208,all
DNAJC21,-0.049,1208,all
DNAJC22,-0.1033,1208,all
DNAJC24,-0.0392,1208,all
DNAJC25,0.0884,1208,all
DNAJC27,0.1765,1208,all
DNAJC28,0.0522,1208,all
DNAJC3,-0.0071,1208,all
DNAJC30,-0.1652,1208,all
DNAJC4,-0.0617,1208,all
DNAJC5,0.0591,1208,all
DNAJC5B,-0.0186,1208,all
DNAJC5G,-0.0754,1208,all
DNAJC6,-0.0733,1208,all
DNAJC7,-0.076,1208,all
DNAJC8,-0.9318,1208,all
DNAJC9,-1.3933,1208,all
DNAL1,0.0395,1208,all
DNAL4,-0.0671,1208,all
DNALI1,0.0126,1208,all
DNASE1,-0.0958,1208,all
DNASE1L1,0.0556,1208,all
DNASE1L2,0.0404,1208,all
DNASE1L3,0.0631,1208,all
DNASE2,-0.1329,1208,all
DNASE2B,0.0837,1208,all
DND1,-0.1235,1208,all
DNER,0.0737,1208,all
DNHD1,0.0432,1208,all
DNLZ,-0.4849,1208,all
DNM1,-0.2227,1208,all
DNM1L,-0.6692,1208,all
DNM2,-1.188,1208,all
DNM3,-0.212,1208,all
DNMBP,-0.0195,1208,all
DNMT1,-0.5957,1208,all
DNMT3A,0.1713,1208,all
DNMT3B,0.0017,1208,all
DNMT3L,0.0213,1208,all
DNPEP,-0.0028,1208,all
DNPH1,-0.0348,1208,all
DNTT,-0.0459,1208,all
DNTTIP1,-0.0522,1208,all
DNTTIP2,-0.6071,1208,all
DOC2A,-0.0413,1208,all
DOC2B,0.2066,77,all
DOCK1,0.0309,77,all
DOCK10,0.0978,1208,all
DOCK11,0.0273,1208,all
DOCK2,0.0457,1208,all
DOCK3,0.0054,1208,all
DOCK4,0.0169,1208,all
DOCK5,-0.0946,1208,all
DOCK6,-0.2762,1208,all
DOCK7,-0.1473,1208,all
DOCK8,-0.0281,1208,all
DOCK9,0.0336,1208,all
DOHH,-0.5735,1208,all
DOK1,-0.1364,1208,all
DOK2,0.0048,1208,all
DOK3,0.002,1208,all
DOK4,-0.0659,1208,all
DOK5,0.0744,1208,all
DOK6,0.0849,1208,all
DOK7,0.044,1208,all
DOLK,-0.4571,1208,all
DOLPP1,-0.2859,1208,all
DONSON,-2.4527,1208,all
DOP1A,0.0531,1208,all
DOP1B,0.0661,1208,all
DORIP1,-0.0598,1208,all
DOT1L,-0.148,1208,all
DPAGT1,-1.7951,1208,all
DPCD,-0.1392,1208,all
DPEP1,-0.0448,1208,all
DPEP2,-0.0849,1208,all
DPEP2NB,0.0008,74,all
DPEP3,-0.1273,1208,all
DPF1,-0.081,1208,all
DPF2,-0.4049,1208,all
DPF3,0.0527,1208,all
DPH1,-0.3649,1208,all
DPH2,-0.3117,1208,all
DPH3,-0.9396,1208,all
DPH5,-0.1113,1208,all
DPH6,-0.3813,1208,all
DPH7,-0.1192,1208,all
DPM1,-0.2747,1208,all
DPM2,-0.4288,1208,all
DPM3,-0.3267,1208,all
DPP10,0.0448,1208,all
DPP3,-0.1312,1208,all
DPP4,0.05,1208,all
DPP6,0.0951,77,all
DPP7,-0.1404,1208,all
DPP8,-0.0143,1208,all
DPP9,-0.046,1208,all
DPPA2,-0.3814,1208,all
DPPA3,-0.2124,383,all
DPPA4,0.0725,1208,all
DPPA5,-0.2997,1208,all
DPRX,-0.1182,1208,all
DPT,0.0961,1208,all
DPY19L1,-0.0081,1208,all
DPY19L2,-0.223,1207,all
DPY19L3,-0.0395,1208,all
DPY19L4,-0.1309,1208,all
DPY30,-0.3896,1208,all
DPYD,-0.054,1208,all
DPYS,0.0345,1208,all
DPYSL2,0.0605,1208,all
DPYSL3,0.0886,1208,all
DPYSL4,0.0547,1208,all
DPYSL5,-0.0614,1208,all
DQX1,-0.0966,1208,all
DR1,-0.8123,1208,all
DRAM1,0.0039,1208,all
DRAM2,-0.1427,1208,all
DRAP1,-0.4356,1208,all
DRAXIN,0.0819,1208,all
DRC1,-0.0478,1208,all
DRC12,0.0064,1208,all
DRC3,0.0433,1208,all
DRC7,0.0071,1208,all
DRD1,0.1135,1208,all
DRD2,0.0278,1208,all
DRD3,-0.0068,1208,all
DRD4,-0.007,1208,all
DRD5,0.1141,1208,all
DRG1,-0.3257,1208,all
DRG2,-0.121,1208,all
DRGX,-0.0689,1208,all
DRICH1,-0.097,1208,all
DROSHA,-0.4358,1208,all
DRP2,-0.0248,1208,all
DSC1,0.0389,1208,all
DSC2,0.1176,1208,all
DSC3,0.0456,1208,all
DSCAM,0.0251,1208,all
DSCAML1,0.0008,1208,all
DSCC1,-0.2709,1208,all
DSE,0.1035,1208,all
DSEL,0.0807,1208,all
DSG1,0.0228,1208,all
DSG2,-0.0739,1208,all
DSG3,0.0213,1208,all
DSG4,-0.0257,1208,all
DSN1,-0.8189,1208,all
DSP,-0.067,1208,all
DSPP,-0.0713,1208,all
DST,0.0349,1208,all
DSTN,-0.2863,1208,all
DSTYK,-0.1099,1208,all
DTD1,-0.1379,1208,all
DTD2,-0.1875,1208,all
DTHD1,-0.0527,1208,all
DTL,-2.2785,1208,all
DTNA,0.1201,1208,all
DTNB,0.02,1208,all
DTNBP1,-0.0565,1208,all
DTWD1,0.0356,1208,all
DTWD2,-0.0402,1208,all
DTX1,-0.0359,1208,all
DTX2,-0.2399,1208,all
DTX3,-0.139,1208,all
DTX3L,0.0015,1208,all
DTX4,-0.0093,1208,all
DTYMK,-1.5785,1208,all
DUOX1,-0.0216,1208,all
DUOX2,-0.1569,1208,all
DUOXA1,-0.0617,1208,all
DUOXA2,-0.1261,1208,all
DUS1L,-0.0577,1208,all
DUS2,-0.0742,1208,all
DUS3L,-0.001,1208,all
DUS4L,-0.0517,1208,all
DUSP1,0.007,1208,all
DUSP10,0.0067,1208,all
DUSP12,-0.2057,1208,all
DUSP13B,-0.1101,1208,all
DUSP14,-0.0918,1208,all
DUSP15,0.0103,1208,all
DUSP16,-0.0443,1208,all
DUSP18,0.043,1208,all
DUSP19,-0.0799,1208,all
DUSP2,0.0966,1208,all
DUSP21,0.0715,1208,all
DUSP22,-0.2106,1208,all
DUSP23,0.0999,1208,all
DUSP26,0.02,1208,all
DUSP28,0.0318,1208,all
DUSP29,-0.1191,1208,all
DUSP3,-0.1226,1208,all
DUSP4,-0.0461,1208,all
DUSP5,0.0342,1208,all
DUSP6,0.0634,1208,all
DUSP7,0.0078,1208,all
DUSP8,-0.1321,1208,all
DUSP9,-0.001,1208,all
DUT,-2.0246,1208,all
DUXA,-0.2742,1208,all
DUXB,0.2457,70,all
DVL1,-0.2523,1208,all
DVL2,-0.0356,1208,all
DVL3,-0.1037,1208,all
DXO,-0.0785,1208,all
DYDC1,-0.142,1208,all
DYDC2,0.0379,1208,all
DYM,-0.0282,1208,all
DYNAP,0.0952,1208,all
DYNC1H1,-1.7174,1208,all
DYNC1I1,0.0356,1208,all
DYNC1I2,-1.7251,1208,all
DYNC1LI1,-0.1448,1208,all
DYNC1LI2,-0.1833,1208,all
DYNC2H1,-0.0092,1208,all
DYNC2I1,0.1561,1208,all
DYNC2I2,-0.0098,1208,all
DYNC2LI1,-0.0477,1208,all
DYNLL1,-0.5765,1208,all
DYNLL2,0.0596,1208,all
DYNLRB1,-2.2166,1208,all
DYNLRB2,0.1516,1208,all
DYNLT1,-0.1908,1208,all
DYNLT2,0.0138,1208,all
DYNLT2B,-0.0798,1208,all
DYNLT3,-0.1146,1208,all
DYNLT4,-0.1394,1208,all
DYNLT5,-0.0755,1208,all
DYRK1A,-0.0968,1208,all
DYRK1B,-0.075,1208,all
DYRK2,-0.0753,1208,all
DYRK3,0.0494,1208,all
DYRK4,-0.0006,1208,all
DYSF,0.0162,1208,all
DYTN,0.0348,1208,all
DZANK1,0.0831,1208,all
DZIP1,0.1025,1208,all
DZIP1L,0.0434,1208,all
DZIP3,0.0178,1208,all
E2F1,-0.2927,1208,all
E2F2,-0.0155,1208,all
E2F3,-0.3977,1208,all
E2F4,-0.1279,1208,all
E2F5,0.1023,1208,all
E2F6,0.1196,383,all
E2F7,0.0968,1208,all
E2F8,0.0511,1208,all
E4F1,-0.468,1208,all
EAF1,-0.4086,1208,all
EAF2,-0.0639,1208,all
EAPP,-0.6024,1208,all
EARS2,-0.5726,1208,all
EBAG9,0.0026,1208,all
EBF1,-0.1145,1208,all
EBF2,0.0374,1208,all
EBF3,-0.0556,1208,all
EBF4,0.0839,1208,all
EBI3,-0.1275,1208,all
EBLN1,0.0705,1208,all
EBLN2,0.1655,1208,all
EBNA1BP2,-1.0264,1208,all
EBP,0.0834,1208,all
EBPL,-0.0516,1208,all
ECD,-1.8879,1208,all
ECE1,-0.0865,1208,all
ECE2,0.0168,383,all
ECEL1,-0.0601,1208,all
ECH1,-0.0609,1208,all
ECHDC1,0.1672,1208,all
ECHDC2,-0.1509,1208,all
ECHDC3,0.0512,1208,all
ECHS1,-0.0121,1208,all
ECI1,-0.0743,1208,all
ECI2,-0.0229,1208,all
ECM1,-0.1266,1208,all
ECM2,0.0747,1208,all
ECPAS,-0.0372,1208,all
ECRG4,0.0215,1208,all
ECSCR,-0.0586,74,all
ECSIT,-0.2323,1208,all
ECT2,-1.2004,1208,all
ECT2L,-0.2141,1208,all
EDA,-0.054,1208,all
EDA2R,0.1085,1208,all
EDAR,0.0274,1208,all
EDARADD,0.0109,1208,all
EDC3,-0.0367,1208,all
EDC4,-0.4206,1208,all
EDDM13,0.4625,70,all
EDDM3A,0.0725,1208,all
EDDM3B,-0.0387,1208,all
EDEM1,0.0304,1208,all
EDEM2,-0.1083,1208,all
EDEM3,-0.0734,1208,all
EDF1,-0.0948,1208,all
EDIL3,-0.0972,1208,all
EDN1,0.0075,1208,all
EDN2,-0.0124,1208,all
EDN3,0.2315,1208,all
EDNRA,0.1227,1208,all
EDNRB,0.0375,1208,all
EDRF1,-0.0787,1208,all
EEA1,0.0031,1208,all
EED,-0.2766,1208,all
EEF1A1,-2.531,383,all
EEF1A2,-0.021,1208,all
EEF1AKMT1,0.0052,1208,all
EEF1AKMT2,-0.1762,1208,all
EEF1AKMT3,-0.2809,1208,all
EEF1AKMT4,-0.0726,1208,all
EEF1B2,-1.1115,1208,all
EEF1D,-0.1699,1208,all
EEF1E1,-0.1815,1208,all
EEF1G,-1.0343,1208,all
EEF2,-2.7063,1208,all
EEF2K,0.001,1208,all
EEF2KMT,-0.7876,1208,all
EEFSEC,-0.5374,1208,all
EEIG1,-0.0749,1208,all
EEIG2,-0.11,1208,all
EEPD1,0.0812,1208,all
EFCAB10,0.0654,73,all
EFCAB11,0.0508,1208,all
EFCAB12,-0.0412,1208,all
EFCAB13,0.0203,1208,all
EFCAB14,-0.0753,1208,all
EFCAB2,-0.0889,1208,all
EFCAB3,-0.1235,1208,all
EFCAB5,-0.0871,1208,all
EFCAB6,0.0352,1208,all
EFCAB7,0.0425,1208,all
EFCAB9,0.0903,1208,all
EFCC1,-0.0883,1208,all
EFEMP1,0.0114,1208,all
EFEMP2,-0.0837,1208,all
EFHB,0.0735,1208,all
EFHC1,-0.0826,1208,all
EFHC2,-0.0103,1208,all
EFHD1,0.0908,1208,all
EFHD2,-0.0732,1208,all
EFL1,-1.0221,1208,all
EFNA1,-0.0055,1208,all
EFNA2,-0.0921,1208,all
EFNA3,-0.2342,1208,all
EFNA4,-0.1654,1208,all
EFNA5,0.0054,1208,all
EFNB1,-0.0032,1208,all
EFNB2,0.0803,1208,all
EFNB3,-0.0395,1208,all
EFR3A,-0.4228,1208,all
EFR3B,-0.1392,1208,all
EFS,-0.0755,1208,all
EFTUD2,-1.64,1208,all
EGF,-0.0112,1208,all
EGFL6,0.2084,1208,all
EGFL7,-0.0853,1208,all
EGFL8,0.0039,1208,all
EGFLAM,0.0678,1208,all
EGFR,-0.2373,1208,all
EGLN1,-0.1983,1208,all
EGLN2,-0.2241,1208,all
EGLN3,0.027,1208,all
EGR1,-0.0661,1208,all
EGR2,-0.1135,1208,all
EGR3,0.0685,1208,all
EGR4,-0.1296,1208,all
EHBP1,0.1044,1208,all
EHBP1L1,-0.1984,1208,all
EHD1,-0.143,1208,all
EHD2,-0.0043,1208,all
EHD3,-0.0381,1208,all
EHD4,0.0234,1208,all
EHF,0.0038,1208,all
EHHADH,0.0028,1208,all
EHMT1,-0.129,1208,all
EHMT2,-0.2278,1208,all
EI24,0.3272,74,all
EID1,0.0024,1208,all
EID2,-0.0649,1208,all
EID2B,-0.0747,1208,all
EID3,0.043,1208,all
EIF1,-1.2016,1208,all
EIF1AD,-1.5286,1208,all
EIF1AX,-1.8872,1208,all
EIF1AY,-0.1749,383,all
EIF1B,0.0192,1208,all
EIF2A,-0.0892,1208,all
EIF2AK1,0.0739,1208,all
EIF2AK2,0.0522,1208,all
EIF2AK3,-0.0407,1208,all
EIF2AK4,-0.1173,1208,all
EIF2B1,-0.9001,1208,all
EIF2B2,-1.5439,1208,all
EIF2B3,-1.442,1208,all
EIF2B4,-1.3683,1208,all
EIF2B5,-1.0481,1208,all
EIF2D,0.0381,1208,all
EIF2S1,-2.148,1208,all
EIF2S2,-1.3699,1208,all
EIF2S3,-1.8063,1208,all
EIF2S3B,0.339,73,all
EIF3A,-1.7582,1208,all
EIF3B,-1.7075,1208,all
EIF3D,-1.5812,1208,all
EIF3E,-1.4868,1208,all
EIF3F,-1.1297,1208,all
EIF3G,-1.4404,1208,all
EIF3H,-0.9201,1208,all
EIF3I,-1.5919,1208,all
EIF3J,-0.6184,1208,all
EIF3K,-0.2473,1208,all
EIF3L,-0.4376,1208,all
EIF3M,-1.0652,1208,all
EIF4A1,-1.5999,1208,all
EIF4A2,-0.0867,1208,all
EIF4A3,-1.975,1208,all
EIF4B,-0.6171,1208,all
EIF4E,-1.362,1208,all
EIF4E1B,-0.0446,1208,all
EIF4E2,-0.2531,1208,all
EIF4E3,-0.0746,1208,all
EIF4EBP1,-0.2016,1208,all
EIF4EBP2,-0.1902,1208,all
EIF4EBP3,-0.0317,1208,all
EIF4ENIF1,-0.2047,1208,all
EIF4G1,-0.7636,1208,all
EIF4G2,-0.749,1208,all
EIF4G3,-0.0658,1208,all
EIF4H,-0.2901,1208,all
EIF5,-1.3985,1208,all
EIF5A,-1.1296,1165,all
EIF5A2,0.0931,1208,all
EIF5AL1,-0.3594,1165,all
EIF5B,-0.3339,1208,all
EIF6,-1.2593,1208,all
EIPR1,-0.1806,1208,all
ELAC1,0.0683,1208,all
ELAC2,-1.0079,1208,all
ELANE,0.0233,1208,all
ELAPOR1,-0.0197,1208,all
ELAPOR2,-0.032,1208,all
ELAVL1,-0.251,1208,all
ELAVL2,0.0956,1208,all
ELAVL3,-0.0964,1208,all
ELAVL4,0.071,1208,all
ELF1,-0.104,1208,all
ELF2,-0.2219,1208,all
ELF3,-0.0361,1208,all
ELF4,-0.0451,1208,all
ELF5,0.0032,1208,all
ELFN1,-0.0526,1208,all
ELFN2,-0.0196,1208,all
ELK1,-0.085,1208,all
ELK3,0.0063,1208,all
ELK4,0.0754,1208,all
ELL,-1.3018,1208,all
ELL2,-0.0636,1208,all
ELL3,-0.175,1208,all
ELMO1,-0.0283,1208,all
ELMO2,-0.3397,1208,all
ELMO3,0.0234,1208,all
ELMOD1,-0.0185,1208,all
ELMOD2,0.0501,1208,all
ELMOD3,-0.2293,1208,all
ELN,0.0635,1208,all
ELOA,-0.2151,1208,all
ELOA2,0.0597,1208,all
ELOB,-1.4659,1208,all
ELOC,-1.3338,1208,all
ELOF1,-0.3806,1208,all
ELOVL1,-0.2266,1208,all
ELOVL2,-0.0517,1208,all
ELOVL3,-0.0881,1208,all
ELOVL4,-0.0118,1208,all
ELOVL5,0.0952,1208,all
ELOVL6,0.0698,1208,all
ELOVL7,0.0958,1208,all
ELP1,-1.0221,1208,all
ELP2,-0.6273,1208,all
ELP3,-0.9647,1208,all
ELP4,-0.4592,1208,all
ELP5,-1.2094,1208,all
ELP6,-0.9812,1208,all
ELSPBP1,0.039,1208,all
EMB,-0.0236,1208,all
EMC1,-0.52,1208,all
EMC10,-0.0501,1208,all
EMC2,-0.2906,1208,all
EMC3,-0.8936,1208,all
EMC4,-0.5117,1208,all
EMC6,-0.2304,1208,all
EMC7,-0.7324,1208,all
EMC8,-0.1274,1208,all
EMC9,-0.0501,1208,all
EMCN,0.1361,1208,all
EMD,0.0464,1208,all
EME1,-0.067,1208,all
EME2,-0.0069,1208,all
EMG1,-0.4909,74,all
EMID1,-0.1243,1208,all
EMILIN1,-0.0083,1208,all
EMILIN2,-0.0068,1208,all
EMILIN3,-0.0393,1208,all
EML1,-0.005,1208,all
EML2,-0.1463,1208,all
EML3,-0.0723,1208,all
EML4,-0.0939,1208,all
EML5,-0.0625,1208,all
EML6,-0.2168,1208,all
EMP1,0.0792,1208,all
EMP2,-0.0392,1208,all
EMP3,-0.0077,1208,all
EMSY,-0.028,1208,all
EMX1,-0.0853,1208,all
EMX2,0.0023,1208,all
EN1,-0.0102,1208,all
EN2,0.0284,1208,all
ENAH,-0.0514,1165,all
ENAM,0.0334,1208,all
ENC1,0.0165,1208,all
ENDOD1,-0.0062,1208,all
ENDOG,-0.2382,1208,all
ENDOU,0.0183,1208,all
ENDOV,-0.0708,1208,all
ENG,0.0198,1208,all
ENGASE,-0.0962,1208,all
ENHO,-0.0482,1165,all
ENKD1,-0.217,1208,all
ENKUR,0.1023,1208,all
ENO1,-0.5814,1208,all
ENO2,-0.0329,1208,all
ENO3,-0.0308,1208,all
ENO4,0.0104,77,all
ENOPH1,0.0198,1208,all
ENOSF1,0.0862,1208,all
ENOX1,-0.0405,1208,all
ENOX2,0.1216,1208,all
ENPEP,-0.0733,1208,all
ENPP1,0.0288,1208,all
ENPP2,-0.037,1208,all
ENPP3,-0.0418,1208,all
ENPP4,0.1137,1208,all
ENPP5,0.0347,1208,all
ENPP6,0.0737,1208,all
ENPP7,-0.2289,1208,all
ENSA,-0.3567,1208,all
ENTHD1,0.0162,1208,all
ENTPD1,0.0416,1208,all
ENTPD2,-0.0302,1208,all
ENTPD3,0.0673,1208,all
ENTPD4,0.0472,1208,all
ENTPD5,-0.0011,1208,all
ENTPD6,0.0406,1208,all
ENTPD7,-0.0496,1208,all
ENTPD8,-0.0556,1208,all
ENTR1,-0.125,1208,all
ENTREP1,-0.07,1208,all
ENTREP2,0.0248,1208,all
ENTREP3,-0.1129,1208,all
ENY2,-0.3134,1208,all
EOGT,-0.0232,1208,all
EOLA1,0.0426,1047,all
EOLA2,0.0755,1046,all
EOMES,0.0011,1208,all
EP300,-0.3585,1208,all
EP400,-0.9321,1208,all
EPAS1,0.0059,1208,all
EPB41,-0.0066,1208,all
EPB41L1,0.0087,1208,all
EPB41L2,-0.0016,1208,all
EPB41L3,0.0873,1208,all
EPB41L4A,-0.0107,1208,all
EPB41L4B,0.0315,1208,all
EPB41L5,-0.0672,1208,all
EPB42,-0.1682,1208,all
EPC1,-0.3325,1208,all
EPC2,-0.3463,1208,all
EPCAM,-0.1373,1208,all
EPCIP,0.0851,1208,all
EPDR1,0.0802,1208,all
EPG5,-0.0535,1208,all
EPGN,0.0796,1208,all
EPHA1,-0.0443,1208,all
EPHA10,-0.1026,1208,all
EPHA2,0.0577,1208,all
EPHA3,-0.0492,1208,all
EPHA4,0.0772,1208,all
EPHA5,-0.038,1208,all
EPHA6,0.065,1208,all
EPHA7,0.0337,1208,all
EPHA8,0.0417,1208,all
EPHB1,0.0414,1208,all
EPHB2,0.0128,1208,all
EPHB3,-0.0069,1208,all
EPHB4,0.0375,1208,all
EPHB6,0.0649,1208,all
EPHX1,0.0125,1208,all
EPHX2,0.0683,1208,all
EPHX3,-0.0636,1208,all
EPHX4,-0.0528,1208,all
EPM2A,-0.0566,1208,all
EPM2AIP1,-0.136,1208,all
EPN1,0.0073,1208,all
EPN2,-0.0419,1208,all
EPN3,-0.1314,1208,all
EPO,0.076,1208,all
EPOP,-0.5492,1208,all
EPOR,-0.0743,1208,all
EPPIN,-0.009,1208,all
EPRS1,-1.4708,1208,all
EPS15,-0.0676,1208,all
EPS15L1,-0.0937,1208,all
EPS8,0.0772,1208,all
EPS8L1,-0.136,1208,all
EPS8L2,-0.0953,1208,all
EPS8L3,-0.2537,1208,all
EPSTI1,-0.1696,1208,all
EPX,-0.0889,1208,all
EPYC,-0.0077,1208,all
EQTN,0.2188,1208,all
ERAL1,-0.4408,1208,all
ERAP1,-0.0112,1208,all
ERAP2,0.03,1208,all
ERAS,0.0987,1165,all
ERBB2,-0.3549,1208,all
ERBB3,-0.2064,1208,all
ERBB4,-0.0767,1208,all
ERBIN,-0.0453,1208,all
ERC1,-0.0158,1208,all
ERC2,-0.0408,1208,all
ERCC1,-0.223,1208,all
ERCC2,-1.0133,1208,all
ERCC3,-1.0181,1208,all
ERCC4,-0.3086,1208,all
ERCC5,-0.0013,1208,all
ERCC6,-0.0884,1208,all
ERCC6L,-0.2419,1208,all
ERCC6L2,-0.122,1208,all
ERCC8,-0.0218,1208,all
EREG,0.0411,1208,all
ERF,0.0374,1208,all
ERFE,0.1441,77,all
ERFL,0.4837,70,all
ERG,-0.0242,1208,all
ERG28,-0.0125,1208,all
ERGIC1,0.1038,1208,all
ERGIC2,0.0513,1208,all
ERGIC3,0.0333,1208,all
ERH,-2.0586,1208,all
ERI1,-0.0716,1208,all
ERI2,-0.0629,1208,all
ERI3,0.121,1208,all
ERICH1,0.1514,1208,all
ERICH2,-0.067,77,all
ERICH3,0.0871,1208,all
ERICH4,-0.0622,1090,all
ERICH5,-0.0911,1208,all
ERICH6,-0.1043,1208,all
ERICH6B,0.1586,1208,all
ERLEC1,-0.0792,1208,all
ERLIN1,-0.0685,1208,all
ERLIN2,-0.027,1208,all
ERLN,-0.0343,1208,all
ERMAP,-0.0469,1208,all
ERMARD,0.0389,1208,all
ERMN,-0.0496,1208,all
ERMP1,0.0205,1208,all
ERN1,0.053,1208,all
ERN2,-0.0491,1208,all
ERO1A,0.0177,1208,all
ERO1B,0.0372,1208,all
ERP27,0.0886,1208,all
ERP29,-0.0142,1208,all
ERP44,-0.0592,1208,all
ERRFI1,0.085,1208,all
ERV3-1,-0.0784,1208,all
ERVFRD-1,0.0184,1208,all
ERVH48-1,0.174,70,all
ERVW-1,-0.4472,1090,all
ESAM,0.1423,1208,all
ESCO1,0.0214,1208,all
ESCO2,-0.262,1208,all
ESD,0.059,1208,all
ESF1,-0.8235,1208,all
ESM1,0.124,1208,all
ESPL1,-2.3674,1208,all
ESPN,-0.0659,1208,all
ESPNL,-0.0458,1208,all
ESR1,-0.0529,1208,all
ESR2,0.0031,1208,all
ESRP1,0.0353,1208,all
ESRP2,-0.119,1208,all
ESRRA,-0.2931,1208,all
ESRRB,0.0242,1208,all
ESRRG,-0.039,1208,all
ESS2,-0.9283,1208,all
ESX1,0.0031,1208,all
ESYT1,-0.1644,1208,all
ESYT2,0.0599,1208,all
ESYT3,0.0241,1208,all
ETAA1,-0.1059,1208,all
ETDC,0.3417,70,all
ETF1,-2.1871,1208,all
ETFA,0.0688,1208,all
ETFB,-0.0515,1208,all
ETFBKMT,0.0025,1208,all
ETFDH,0.0888,1208,all
ETFRF1,0.0235,1090,all
ETHE1,0.012,1208,all
ETNK1,-0.0993,383,all
ETNK2,-0.045,1208,all
ETNPPL,-0.0634,1208,all
ETS1,0.0747,1208,all
ETS2,0.0963,1208,all
ETV1,0.1049,1208,all
ETV2,-0.0249,1208,all
ETV3,-0.0878,1208,all
ETV3L,-0.0471,1208,all
ETV4,-0.0389,1208,all
ETV5,-0.0028,1208,all
ETV6,-0.0029,1208,all
ETV7,-0.0129,1208,all
EVA1A,-0.0158,1208,all
EVA1B,-0.0316,1208,all
EVA1C,-0.08,1208,all
EVC,0.0885,1208,all
EVC2,0.1354,1208,all
EVI2A,0.0021,1208,all
EVI2B,0.0236,1208,all
EVI5,-0.117,1208,all
EVI5L,-0.1205,1208,all
