gene,mean_effect,n_lines,lineage
ACSM5,0.0228,1208,all
ACSM6,0.0173,1208,all
ACSS1,0.076,1208,all
ACSS2,0.1583,1208,all
ACSS3,0.0182,1208,all
ACTA1,-0.1343,1208,all
ACTA2,0.0545,1208,all
ACTB,-0.8145,1208,all
ACTBL2,0.0153,1208,all
ACTC1,0.0036,1208,all
ACTG1,-0.7809,1208,all
ACTG2,0.0243,1208,all
ACTL10,0.1179,1208,all
ACTL6A,-1.5665,1208,all
ACTL6B,0.0134,1208,all
ACTL7A,-0.1289,1208,all
ACTL7B,0.0722,1208,all
ACTL8,-0.0136,1208,all
ACTL9,-0.03,1208,all
ACTMAP,0.1208,1208,all
ACTN1,-0.1244,1208,all
ACTN2,0.0071,1208,all
ACTN3,0.161,74,all
ACTN4,0.0071,1208,all
ACTR10,-1.2158,1208,all
ACTR1A,-0.9255,1208,all
ACTR1B,-0.2984,1208,all
ACTR2,-1.3769,1208,all
ACTR3,-0.4717,1208,all
ACTR3B,0.0023,1208,all
ACTR3C,-0.0899,1047,all
ACTR5,-0.3071,1208,all
ACTR6,-0.738,1208,all
ACTR8,-0.5892,1208,all
ACTRT1,0.0969,1208,all
ACTRT2,0.0937,1208,all
ACTRT3,-0.0753,1208,all
ACVR1,0.0581,1208,all
ACVR1B,-0.0993,1208,all
ACVR1C,0.0975,1208,all
ACVR2A,-0.039,1208,all
ACVR2B,0.0591,1208,all
ACVRL1,0.0341,1208,all
ACY1,0.0561,1208,all
ACY3,-0.0424,1208,all
ACYP1,-0.0041,1208,all
ACYP2,0.0639,1208,all
ADA,-0.0126,1208,all
ADA2,-0.0424,1208,all
ADAD1,0.0823,1208,all
ADAD2,-0.0362,1208,all
ADAM10,0.0091,1208,all
ADAM11,-0.286,1208,all
ADAM12,-0.0277,1208,all
ADAM15,-0.0775,1208,all
ADAM17,0.0381,1208,all
ADAM18,0.1853,1208,all
ADAM19,0.1339,1208,all
ADAM2,0.0069,1208,all
ADAM20,0.1161,1208,all
ADAM21,-0.0273,1208,all
ADAM22,-0.0282,1208,all
ADAM23,0.0518,1208,all
ADAM28,0.1196,1208,all
ADAM29,0.0986,1208,all
ADAM30,-0.0997,1208,all
ADAM32,0.1223,1208,all
ADAM33,-0.0868,1208,all
ADAM7,-0.0003,1208,all
ADAM8,0.1803,1208,all
ADAM9,0.0041,1208,all
ADAMDEC1,0.1127,1208,all
ADAMTS1,-0.0496,1208,all
ADAMTS10,-0.1452,1208,all
ADAMTS12,0.1469,1208,all
ADAMTS13,-0.0193,1208,all
ADAMTS14,0.0513,1208,all
ADAMTS15,0.0048,1208,all
ADAMTS16,0.0832,1208,all
ADAMTS17,0.0519,1208,all
ADAMTS18,0.0799,1208,all
ADAMTS19,0.112,1208,all
ADAMTS2,0.0001,1208,all
ADAMTS20,-0.0258,1208,all
ADAMTS3,-0.0767,1208,all
ADAMTS4,-0.1199,1208,all
ADAMTS5,0.0796,1208,all
ADAMTS6,-0.0117,1208,all
ADAMTS7,0.094,383,all
ADAMTS8,0.0506,1208,all
ADAMTS9,-0.0252,1208,all
ADAMTSL1,0.0659,1208,all
ADAMTSL2,0.0412,1208,all
ADAMTSL3,0.0717,1208,all
ADAMTSL4,-0.1752,1208,all
ADAMTSL5,-0.1895,1208,all
ADAP1,-0.027,1208,all
ADAP2,-0.1354,1208,all
ADAR,-0.4962,1208,all
ADARB1,0.0462,1208,all
ADARB2,0.0555,1208,all
ADAT1,-0.1212,1208,all
ADAT2,-0.382,1208,all
ADAT3,-0.4315,1208,all
ADCK1,0.1152,1208,all
ADCK2,-0.1026,1208,all
ADCK5,-0.0222,1208,all
ADCY1,0.0297,1208,all
ADCY10,0.0042,1208,all
ADCY2,0.1304,1208,all
ADCY3,-0.1731,1208,all
ADCY4,-0.1205,1208,all
ADCY5,0.0864,1208,all
ADCY6,-0.0019,1208,all
ADCY7,0.1628,1208,all
ADCY8,-0.0215,1208,all
ADCY9,0.0841,1208,all
ADCYAP1,0.173,1208,all
ADCYAP1R1,-0.0039,1208,all
ADD1,-0.002,1208,all
ADD2,-0.04,1208,all
ADD3,0.0591,1208,all
ADGRA1,0.0527,1208,all
ADGRA2,0.0152,1208,all
ADGRA3,-0.1015,1208,all
ADGRB1,0.017,1208,all
ADGRB2,-0.0716,1208,all
ADGRB3,-0.0112,1208,all
ADGRD1,-0.0336,1208,all
ADGRD2,0.0779,73,all
ADGRE1,-0.0757,1208,all
ADGRE2,-0.0996,1208,all
ADGRE3,0.0121,1208,all
ADGRE5,0.0681,1208,all
ADGRF1,0.0462,1208,all
ADGRF3,0.0254,1208,all
ADGRF4,0.0525,1208,all
ADGRF5,-0.1653,1208,all
ADGRG1,-0.0573,1208,all
ADGRG2,0.1353,1208,all
ADGRG3,-0.1154,1208,all
ADGRG4,0.0174,1208,all
ADGRG5,0.0002,1208,all
ADGRG6,0.1553,1208,all
ADGRG7,-0.026,1208,all
ADGRL1,0.0408,1208,all
ADGRL2,0.0097,1208,all
ADGRL3,-0.0321,1208,all
ADGRL4,0.0574,1208,all
ADGRV1,-0.0041,1208,all
ADH1A,0.002,1208,all
ADH1B,0.0052,1208,all
ADH1C,0.138,74,all
ADH4,0.0543,1208,all
ADH5,-0.2139,1208,all
ADH6,0.0589,1208,all
ADH7,0.0616,1208,all
ADHFE1,-0.052,1208,all
ADI1,-0.0013,1208,all
ADIG,0.0221,1208,all
ADIPOQ,0.0924,1208,all
ADIPOR1,-0.0169,1208,all
ADIPOR2,0.0634,1208,all
ADIRF,-0.054,1208,all
ADISSP,0.0379,1208,all
ADK,-0.06,1208,all
ADM,0.0754,1208,all
ADM2,0.049,1208,all
ADM5,-0.1162,1208,all
ADNP,-0.2136,1208,all
ADNP2,0.0027,1208,all
ADO,-0.0722,1208,all
ADORA1,-0.0253,1208,all
ADORA2A,-0.0622,1208,all
ADORA2B,0.0187,1208,all
ADORA3,0.1461,380,all
ADPGK,-0.0605,1208,all
ADPRH,-0.0927,1208,all
ADPRHL1,-0.0948,1208,all
ADPRM,0.0389,1208,all
ADPRS,-0.2073,1208,all
ADRA1A,0.1185,1208,all
ADRA1B,0.0369,1208,all
ADRA1D,0.0079,1208,all
ADRA2A,-0.0114,1208,all
ADRA2B,-0.0727,1208,all
ADRA2C,0.0204,1208,all
ADRB1,0.1029,1208,all
ADRB2,-0.0033,1208,all
ADRB3,0.0321,1208,all
ADRM1,-0.4431,1208,all
ADSL,-1.0725,1208,all
ADSS1,-0.0648,1208,all
ADSS2,-0.4909,1208,all
ADTRP,0.0757,1208,all
AEBP1,-0.1405,1208,all
AEBP2,-0.0354,1208,all
AEN,-0.007,1208,all
AFAP1,0.1363,1208,all
AFAP1L1,-0.0471,1208,all
AFAP1L2,0.0179,1208,all
AFDN,-0.0759,1208,all
AFF1,0.0687,1208,all
AFF2,0.1052,1208,all
AFF3,-0.1789,1208,all
AFF4,-0.056,1208,all
AFG1L,0.0451,1208,all
AFG2A,-0.8277,1208,all
AFG2B,-1.3331,1208,all
AFG3L2,-1.2277,1208,all
AFM,0.0475,1208,all
AFMID,-0.0485,1208,all
AFP,-0.0118,1208,all
AFTPH,0.0319,1208,all
AGA,0.1136,1208,all
AGAP1,-0.0353,1208,all
AGAP2,-0.3199,1208,all
AGAP3,0.0464,1208,all
AGAP5,-0.6794,1047,all
AGAP6,-0.6325,1208,all
AGAP9,-0.3084,1046,all
AGBL1,0.0386,1208,all
AGBL2,0.0528,1208,all
AGBL3,-0.1016,1208,all
AGBL4,-0.1646,1208,all
AGBL5,-0.0863,1208,all
AGER,0.1165,1208,all
AGFG1,-0.0091,1208,all
AGFG2,-0.1072,1208,all
AGGF1,0.1188,1208,all
AGK,0.039,1208,all
AGL,-0.0855,1208,all
AGMAT,-0.0979,1208,all
AGMO,0.0616,1208,all
AGO1,-0.1525,1208,all
AGO2,-0.0639,1208,all
AGO3,-0.0873,1208,all
AGO4,-0.0171,1208,all
AGPAT1,-0.0709,1208,all
AGPAT2,-0.0243,1208,all
AGPAT3,-0.0032,1208,all
AGPAT4,0.0339,1208,all
AGPAT5,0.0703,1208,all
AGPS,-0.0137,1208,all
AGR2,0.0005,1208,all
AGR3,0.0197,1208,all
AGRN,-0.1394,1208,all
AGRP,-0.034,1208,all
AGT,0.0085,1208,all
AGTPBP1,0.1393,1208,all
AGTR1,-0.0667,1208,all
AGTR2,0.0364,1208,all
AGTRAP,0.0604,1208,all
AGXT,0.0318,1208,all
AGXT2,0.0896,1208,all
AHCTF1,-1.1797,1208,all
AHCY,-0.9081,1208,all
AHCYL1,-0.4301,1208,all
AHCYL2,-0.0344,1208,all
AHDC1,-0.1219,1208,all
AHI1,-0.0387,1208,all
AHNAK,-0.2131,1208,all
AHNAK2,0.1015,1208,all
AHR,0.0251,1208,all
AHRR,-0.0744,1208,all
AHSA1,-0.0434,1208,all
AHSG,0.0686,1208,all
AHSP,0.0541,1208,all
AICDA,0.0622,1208,all
AIDA,0.0633,1208,all
AIF1,-0.1294,1208,all
AIF1L,-0.0765,1208,all
AIFM1,-0.5282,1208,all
AIFM2,-0.0598,1208,all
AIFM3,-0.0942,1208,all
AIG1,-0.0492,1208,all
AIM2,0.079,1208,all
AIMP1,-0.0645,1208,all
AIMP2,-0.1973,1208,all
AIP,-0.1684,1208,all
AIPL1,-0.0541,1208,all
AIRE,0.1249,1208,all
AIRIM,-1.8214,1208,all
AJAP1,0.0383,1208,all
AJM1,-0.1958,1208,all
AJUBA,0.0231,1208,all
AK1,-0.1976,1208,all
AK2,-0.2833,1208,all
AK3,-0.0558,1208,all
AK4,-0.4114,1208,all
AK5,0.0851,1208,all
AK6,-1.298,1208,all
AK7,-0.0041,1208,all
AK8,-0.0584,1208,all
AK9,0.0805,1208,all
AKAIN1,0.1646,1208,all
AKAP1,-0.0384,1208,all
AKAP10,-0.0294,1208,all
AKAP11,0.0259,1208,all
AKAP12,-0.0355,1208,all
AKAP13,-0.0009,1208,all
AKAP14,0.0797,1208,all
AKAP17A,0.166,74,all
AKAP3,-0.0634,1208,all
AKAP4,0.0529,1208,all
AKAP5,0.0542,1208,all
AKAP6,-0.0633,1208,all
AKAP7,0.0618,1208,all
AKAP8,-0.0657,1208,all
AKAP8L,-0.1554,1208,all
AKAP9,-0.0231,1208,all
AKIP1,-0.0891,1208,all
AKIRIN1,-0.3575,1208,all
AKIRIN2,-0.9758,1208,all
AKNA,-0.0433,1208,all
AKNAD1,-0.0373,1208,all
AKR1A1,0.0251,1208,all
AKR1B1,0.0842,1208,all
AKR1B10,0.0963,1208,all
AKR1B15,-0.1502,1208,all
AKR1C2,0.0598,1208,all
AKR1C3,0.007,1208,all
AKR1C4,0.081,1208,all
AKR1D1,-0.0704,1208,all
AKR1E2,0.1434,1208,all
AKR7A2,-0.0189,1208,all
AKR7A3,-0.2656,1208,all
AKT1,-0.0866,1208,all
AKT1S1,0.043,1208,all
